순위,책제목,저자,출판사
78,세상을 움직이는 놀라운 화학,"표트르 발치트, 마리아 샤라포바 저/리사 카진스카야 그림/이경아 역/이황기 감수",미디어숲
79,너에게 들려주는 단단한 말,김종원 저,퍼스트펭귄
80,토마토 컵라면,차정은 저,BOOKK(부크크)
81,사과 세탁소 1 : 못 말리는 첫 직원,박보영 글/심보영 그림,한빛에듀
82,부동산 투자 황금 로드맵,김원철 저,다산북스
83,의사 어벤저스 22,고희정 글/조승연 그림/류정민 감수,가나출판사
84,내가 나라서 정말 좋아,김지훤 글/하꼬방 그림,길벗
85,여름 피치 스파클링,차정은 저,다이브
86,코스모스,칼 에드워드 세이건 저/홍승수 역,사이언스북스
87,메리골드 마음 식물원 (아틀리에 컬렉션),윤정은 저,북로망스
88,니체 인생수업 : 니체가 세상에 남긴 66가지 인생지혜 (리커버 에디션),프리드리히 니체 저 / 김지민 역,하이스트
89,푸른 상자 18 더블특전판,코우지 미우라 글그림,학산문화사
90,파과 (리커버),구병모 저,위즈덤하우스
91,빨간내복야코 국어 3 : 어휘 절대 안 틀리는 책,빨간내복야코 원저/박종은 글/이영아 그림/샌드박스 네트워크 감수,위즈덤하우스
92,김재우의 기초 영어회화 100,김재우 저,상상스퀘어
93,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 저/이지연 역,인플루엔셜
94,질문의 격,유선경 저,앤의서재
95,200만 원으로 시작하는 부동산 경매투자,"곽상빈, 묘지부자(윤준섭) 저",동아엠앤비
96,나는 월급쟁이 배당 부자가 되었다,환상감자(이은호) 저,길벗
97,2025 제16회 젊은작가상 수상작품집,"백온유, 강보라, 서장원, 성해나, 성혜령 저 외 2명
                                        
정보 더 보기/감추기



백온유
강보라
서장원
성해나
성혜령
이희주
현호정",문학동네
98,어서 오세요 실력지상주의 교실에 2학년 편 12.5,키누가사 쇼고 저/토모세 슌사쿠 그림/조민정 역,소미미디어
99,인생을 바꾸는 이메일 쓰기,이슬아 저,이야기장수
100,마흔에 읽는 쇼펜하우어,강용수 저,유노북스
101,단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬) 저,리더스북
102,경험의 멸종,크리스틴 로젠 저/이영래 역,어크로스
103,코믹 블루록 32 한정판,카네시로 무네유키 원저/노무라 유스케 글그림,학산문화사
104,샤워젤과 소다수,고선경 저,문학동네
105,인간 실격,다자이 오사무 저,민음사
106,해커스 토익 RC Reading(리딩) 기본서,David Cho 저,해커스어학연구소
107,이재명의 나의 소년공 다이어리,"이재명, 조정미 저",팬덤북스
108,우리가 타인을 마주할 때,아돌프 크니게 저/박상미 역,저녁달
109,괴수 8호 15 트리플특장판,마츠모토 나오야 글그림/유유리 역,서울미디어코믹스(서울문화사)
110,윤슬의 바다,백은별 저,바른북스
111,타키 포오 코믹 어드벤처 8,캐릭온TV 원저 / 안도감 글 / 김규태 그림,대원씨아이(단행)(대원키즈)
112,윈드 브레이커 공식 캐릭터북 극비 노트 특장판,니이 사토루 감수,리디
113,사피엔스,유발 하라리 저/조현욱 역/이태수 감수,김영사
114,"마침내, 안녕",유월 저,서사원
115,여름을 한 입 베어 물었더니,이꽃님 저,문학동네
116,해커스 토익 LC Listening(리스닝) 기본서,David Cho 저,해커스어학연구소
117,"그런 날이 있잖아, 불행을 만났다가 잘 헤어진 날",배서영 저,캐스팅북스
118,인생의 연금술,이하영 저,웅진지식하우스
119,만화 나 혼자만 레벨업 14,추공 원저/장성락(REDICE STUDIO) 글그림,디앤씨웹툰비즈
120,어쩌다 좋은 일이 생길지도,요시타케 신스케 글그림/고향옥 역,주니어김영사
